asset	allocation
AAPL	0.13046656358443492
SPY	0.8673259421070779
TSLA	1.1899392571039296e-21
FNMA	-1.490160191347207e-19
FIGR.PVT	0.00220749430848714
F	-5.511375276943144e-20
