asset	allocation
AAPL	-4.017976144708766e-11
SPY	-4.1192727605109456e-11
TSLA	-4.495472088502121e-11
FNMA	-1.0908036823333694e-10
FIGR.PVT	1.0000000002753364
F	-3.9929319256327115e-11
