	asset	allocation
0	AAPL	3.201353226364247e-08
1	SPY	8.257165270218225e-08
2	TSLA	1.1277391407992991e-07
3	FNMA	1.8074128926766857e-08
4	FIGR.PVT	-4.714564062778459e-10
5	F	0.9999997550382307
