	asset	estimated_return
0	AAPL	0.015934769916334954
1	SPY	0.01876243730186186
2	TSLA	0.02428565535886754
3	FNMA	0.16567737979062253
4	FIGR.PVT	0.571583508030524
5	F	0.006677257836298157
