index	return	risk	AAPL	SPY	TSLA	FNMA	FIGR.PVT	F
0	0.02154037774462133	0.03379853882275278	0.12839523650325052	0.869367057686896	0.0	0.0	0.0022377058098535037	0.0
1	0.027289323616189277	0.03685224923905937	0.12496450282430117	0.8440452550183227	3.9977019122965405e-20	0.025134308271098346	0.005855933886277802	0.0
2	0.033038269487757226	0.04266549066431737	0.14059284067819702	0.7930784773277891	0.0033488838347852236	0.054551426180384895	0.008428371978843704	0.0
3	0.03878721535932518	0.05017625725293402	0.1493161660956118	0.7425964876763613	0.014681799630575166	0.08221616714198522	0.011189379455466502	0.0
4	0.04453616123089313	0.058728972179408354	0.15803949151302618	0.6921144980249337	0.026014715426365197	0.10988090810358551	0.0139503869320893	0.0
5	0.05028510710246108	0.06793121695979155	0.166762816930441	0.6416325083735058	0.03734763122215518	0.1375456490651858	0.016711394408712093	0.0
6	0.05603405297402903	0.07755211786326838	0.17548614234785576	0.5911505187220782	0.048680547017945115	0.1652103900267861	0.01947240188533489	0.0
7	0.061782998845596966	0.0874536129360572	0.18420946776527003	0.5406685290706509	0.06001346281373518	0.19287513098838632	0.022233409361957685	0.0
8	0.06753194471716492	0.0975502974322098	0.19293279318268483	0.49018653941922297	0.07134637860952514	0.22053987194998662	0.02499441683858048	0.0
9	0.07328089058873286	0.10778733379069606	0.20165611860009955	0.43970454976779527	0.082679294405315	0.2482046129115869	0.027755424315203267	0.0
10	0.07902983646030082	0.11812823881423404	0.2103794440175142	0.3892225601163675	0.09401221020110499	0.27586935387318723	0.030516431791826067	0.0
11	0.08477878233186878	0.1285479481285094	0.2191027694349286	0.33874057046494	0.10534512599689508	0.30353409483478755	0.033277439268448866	0.0
12	0.09052772820343673	0.13902874455952846	0.22782609485234373	0.28825858081351186	0.11667804179268489	0.3311988357963879	0.03603844674507165	0.0
13	0.09627667407500469	0.1495577859644851	0.23654942026975848	0.23777659116208397	0.1280109575884749	0.3588635767579883	0.03879945422169446	1.3135629766576166e-21
14	0.10202561994657261	0.1601255555945093	0.24527274568717292	0.18729460151065655	0.13934387338426485	0.38652831771958845	0.04156046169831725	6.412531124400207e-21
15	0.10777456581814057	0.17072486183726523	0.25399607110458766	0.13681261185922872	0.15067678918005467	0.4141930586811889	0.04432146917494004	1.1508888737711831e-20
16	0.11352351168970853	0.18135017515102586	0.262719396522002	0.08633062220780109	0.1620097049758449	0.44185779964278915	0.04708247665156285	1.6609047075839018e-20
17	0.11927245756127645	0.1919971778134086	0.2714427219394168	0.035848632556373654	0.17334262077163462	0.46952254060438936	0.049843484128185615	2.170875756936576e-20
18	0.12502140343284443	0.20266393276819122	0.2659398026030757	0.0	0.18484553395636774	0.49654425780113604	0.0526704056394206	0.0
19	0.1307703493044124	0.21337111660848163	0.22558558991540956	0.0	0.19676490482009917	0.5219907026580144	0.055658802606476876	0.0
20	0.13651929517598033	0.22412097384425572	0.18523137722774324	0.0	0.20868427568383105	0.5474371475148926	0.058647199573533156	0.0
21	0.14226824104754832	0.23490764608141615	0.14487716454007735	2.63624429153162e-24	0.22060364654756215	0.5728835923717712	0.061635596540589414	4.604619474558811e-25
22	0.14801718691911625	0.24572628515198186	0.10452295185241114	6.424022378510981e-23	0.23252301741129375	0.5983300372286494	0.06462399350764568	8.319488127878244e-23
23	0.15376613279068418	0.2565728473516661	0.06416873916474469	1.3282083619051888e-22	0.2444423882750258	0.6237764820855276	0.06761239047470198	1.8009748932496015e-22
24	0.15951507866225217	0.2674439353175849	0.023814526477078424	1.9795637302487366e-22	0.2563617591387573	0.649222926942406	0.07060078744175825	2.7467025990005496e-22
25	0.16526402453382008	0.27834745588064547	0.0	0.0	0.24832995389273102	0.6783906499492053	0.07327939615806374	0.0
26	0.17101297040538804	0.2893713462727927	0.0	0.0	0.21157161746193862	0.7129164236409774	0.07551195889708398	2.493986449313709e-24
27	0.17676191627695598	0.30052306028904696	7.945922952803231e-24	4.952125394705517e-24	0.17481328103114638	0.7474421973327494	0.07774452163610422	2.81587586945592e-24
28	0.1825108621485239	0.3117888826762829	1.8260126118011333e-23	2.1373961108286196e-23	0.13805494460035397	0.7819679710245215	0.07997708437512446	2.7062854672113595e-23
29	0.18825980802009187	0.3231568795938294	0.0	0.0	0.10129660816956178	0.8164937447162935	0.08220964711414472	0.0
30	0.19400875389165984	0.33461663761741095	0.0	0.0	0.0645382717387693	0.8510195184080657	0.084442209853165	3.422002796853534e-24
31	0.1997576997632278	0.34615904348320536	7.502904108027646e-24	1.1239652130457739e-23	0.02777993530797726	0.8855452920998375	0.08667477259218526	1.267089545310879e-23
32	0.20550664563479573	0.3578366526321851	0.0	0.0	0.0	0.9083751111593896	0.09162488884061032	0.0
33	0.2112555915063637	0.370979439641495	0.0	0.0	0.0	0.8950166536423397	0.10498334635766023	0.0
34	0.21700453737793163	0.38597532898878584	0.0	0.0	1.028350188418678e-23	0.88165819612529	0.11834180387471002	0.0
35	0.22275348324949962	0.4026173118742645	0.0	0.0	0.0	0.8682997386082401	0.13170026139175992	0.0
36	0.22850242912106752	0.42071009060312475	2.256165715414367e-22	1.9207687362802783e-22	1.8339108816761674e-22	0.8549412810911903	0.1450587189088097	1.965241730743303e-22
37	0.23425137499263554	0.4400747619794775	0.0	0.0	0.0	0.8415828235741403	0.15841717642585967	0.0
38	0.24000032086420345	0.4605509170644123	0.0	0.0	0.0	0.8282243660570906	0.1717756339429094	0.0
39	0.2457492667357714	0.48199692277858186	0.0	0.0	0.0	0.8148659085400407	0.1851340914599593	0.0
