	AAPL	SPY	TSLA	FNMA	FIGR.PVT	F
AAPL	0.003617939902364772	0.0007877706759865859	0.003050179026166282	-0.002114180187043563	-0.0014252972068044619	-5.993288052792069e-05
SPY	0.0007877706759865859	0.0012232806738001535	0.002001812512586351	0.003685167305883235	-0.010908775387729833	0.0013510981897217622
TSLA	0.003050179026166282	0.002001812512586351	0.02437602196471988	0.018758841029820145	-0.13415404355841437	0.0002141255540714708
FNMA	-0.002114180187043563	0.003685167305883235	0.018758841029820145	0.11010332258769111	-0.019679885264474197	0.010193982565904251
FIGR.PVT	-0.0014252972068044619	-0.010908775387729833	-0.13415404355841437	-0.019679885264474197	4.8172323189315716	-0.006461093418967463
F	-5.993288052792069e-05	0.0013510981897217622	0.0002141255540714708	0.010193982565904251	-0.006461093418967463	0.005278723040754516
